nohup: ignoring input
 * Serving Flask app 'master.py' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.1.21:5000/ (Press CTRL+C to quit)
192.168.1.22 - - [15/Nov/2021 18:57:35] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:36] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:37] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:38] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:39] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:40] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:41] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:42] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:43] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:44] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:45] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:46] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:47] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:48] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:49] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:50] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:51] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:52] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:53] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:54] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:55] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:56] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:57] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:58] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:57:59] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:00] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:01] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:02] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:03] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:04] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:05] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:06] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:07] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:08] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:09] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:10] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:11] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:12] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:13] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:14] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:15] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:16] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:17] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:18] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:19] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:21] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:23] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:23] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:24] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:25] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:27] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:28] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:29] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:30] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:31] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:32] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:33] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:34] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:35] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:36] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:37] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:38] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:39] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:40] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:41] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:42] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:43] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:44] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:45] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:46] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:47] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:48] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:49] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:50] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:51] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:52] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:53] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:54] "GET /position_relative_json HTTP/1.1" 200 -
